system:index,consistent_change,current_state,first,latitude,lc_change_to_another_neighbors,lc_consistent_change_one_year_neighbors,lc_consistent_change_two_years_neighbors,lc_reverse_neighbors,longitude,no_lc_change_neighbors,one_lc_change_neighbors,year,year_after_state,.geo
30_212,0,1,0.0,-10.392115448572477,0.0,0.0,0.0,0.0,-61.32686155273461,8.0,0.0,2015,3,"{""type"":""Point"",""coordinates"":[-61.32686155273461,-10.392115448572477]}"
30_213,0,1,5.0,-12.257556967575074,0.0,5.0,5.0,0.0,-51.30031550903457,3.0,5.0,2015,3,"{""type"":""Point"",""coordinates"":[-51.30031550903457,-12.257556967575074]}"
30_215,0,3,1.0,-10.547613824253563,0.0,1.0,1.0,2.0,-54.43938843786182,5.0,3.0,2015,1,"{""type"":""Point"",""coordinates"":[-54.43938843786182,-10.547613824253563]}"
30_217,0,1,1.0,-5.466562914216728,0.0,1.0,1.0,1.0,-40.329999427838565,6.0,2.0,2015,3,"{""type"":""Point"",""coordinates"":[-40.329999427838565,-5.466562914216728]}"
30_219,0,1,0.0,-12.226834584858189,0.0,0.0,0.0,4.0,-38.35783805308256,4.0,4.0,2015,3,"{""type"":""Point"",""coordinates"":[-38.35783805308256,-12.226834584858189]}"
30_220,0,2,6.0,-13.063884766600756,0.0,6.0,6.0,0.0,-50.47997399157661,2.0,6.0,2015,3,"{""type"":""Point"",""coordinates"":[-50.47997399157661,-13.063884766600756]}"
30_222,0,1,8.0,-1.303680056078453,0.0,8.0,8.0,0.0,-53.485108111541656,0.0,8.0,2015,5,"{""type"":""Point"",""coordinates"":[-53.485108111541656,-1.303680056078453]}"
30_223,0,5,1.0,-3.154568867478315,0.0,1.0,1.0,3.0,-64.45030379561818,4.0,4.0,2015,1,"{""type"":""Point"",""coordinates"":[-64.45030379561818,-3.154568867478315]}"
30_224,0,1,5.0,-4.508240169118023,0.0,5.0,5.0,0.0,-43.77467921632327,3.0,5.0,2015,3,"{""type"":""Point"",""coordinates"":[-43.77467921632327,-4.508240169118023]}"
30_226,0,1,0.0,-27.30990753133859,0.0,0.0,0.0,0.0,-48.81099402521096,8.0,0.0,2015,3,"{""type"":""Point"",""coordinates"":[-48.81099402521096,-27.30990753133859]}"
