system:index,consistent_change,current_state,first,latitude,lc_change_to_another_neighbors,lc_consistent_change_one_year_neighbors,lc_consistent_change_two_years_neighbors,lc_reverse_neighbors,longitude,no_lc_change_neighbors,one_lc_change_neighbors,year,year_after_state,.geo
16_383,1,2,3.0,-2.5907861951649034,0.0,3.0,3.0,0.0,-57.50488934491969,5.0,3.0,2001,1,"{""type"":""Point"",""coordinates"":[-57.50488934491969,-2.5907861951649034]}"
16_402,1,1,0.0,-14.177705887380547,0.0,0.0,0.0,0.0,-39.892609716000756,8.0,0.0,2001,3,"{""type"":""Point"",""coordinates"":[-39.892609716000756,-14.177705887380547]}"
16_410,0,2,0.0,-15.321171412536287,0.0,0.0,0.0,0.0,-47.67049294049282,8.0,0.0,2001,3,"{""type"":""Point"",""coordinates"":[-47.67049294049282,-15.321171412536287]}"
16_414,1,1,5.0,-12.648324116167064,0.0,5.0,5.0,0.0,-52.64347652185008,3.0,5.0,2001,2,"{""type"":""Point"",""coordinates"":[-52.64347652185008,-12.648324116167064]}"
16_569,1,3,3.0,-2.304043956473953,0.0,3.0,3.0,0.0,-47.210196188909975,5.0,3.0,2001,1,"{""type"":""Point"",""coordinates"":[-47.210196188909975,-2.304043956473953]}"
16_595,1,3,3.0,-8.28197284617572,0.0,3.0,3.0,0.0,-37.48251964023649,5.0,3.0,2001,1,"{""type"":""Point"",""coordinates"":[-37.48251964023649,-8.28197284617572]}"
16_639,1,3,1.0,-22.157440556214258,0.0,1.0,1.0,0.0,-47.20238084593813,7.0,1.0,2001,1,"{""type"":""Point"",""coordinates"":[-47.20238084593813,-22.157440556214258]}"
16_699,1,1,3.0,-4.452185295388964,0.0,5.0,3.0,0.0,-46.36721712629221,3.0,5.0,2001,3,"{""type"":""Point"",""coordinates"":[-46.36721712629221,-4.452185295388964]}"
16_733,1,1,6.0,-21.370516367325557,0.0,6.0,6.0,0.0,-55.45996443215,2.0,6.0,2001,3,"{""type"":""Point"",""coordinates"":[-55.45996443215,-21.370516367325557]}"
16_747,1,2,4.0,-15.954753182425787,4.0,4.0,4.0,0.0,-47.85671369889079,0.0,8.0,2001,3,"{""type"":""Point"",""coordinates"":[-47.85671369889079,-15.954753182425787]}"
16_762,0,1,1.0,-12.556156968016404,0.0,1.0,1.0,1.0,-40.74259563783466,6.0,2.0,2001,3,"{""type"":""Point"",""coordinates"":[-40.74259563783466,-12.556156968016404]}"
16_792,1,1,4.0,-12.467493249473806,0.0,4.0,4.0,0.0,-61.19992960308851,4.0,4.0,2001,3,"{""type"":""Point"",""coordinates"":[-61.19992960308851,-12.467493249473806]}"
16_845,1,3,0.0,-21.186721060194703,0.0,0.0,0.0,0.0,-57.019799091495145,8.0,0.0,2001,1,"{""type"":""Point"",""coordinates"":[-57.019799091495145,-21.186721060194703]}"
16_1056,1,3,0.0,-17.086899935001618,0.0,5.0,0.0,0.0,-57.184999272244724,3.0,5.0,2001,1,"{""type"":""Point"",""coordinates"":[-57.184999272244724,-17.086899935001618]}"
16_1064,1,2,7.0,-19.605057339445466,0.0,7.0,7.0,0.0,-57.952789345581685,1.0,7.0,2001,3,"{""type"":""Point"",""coordinates"":[-57.952789345581685,-19.605057339445466]}"
16_1118,1,3,1.0,-3.6232199512034695,0.0,1.0,1.0,0.0,-43.82480520917714,7.0,1.0,2001,1,"{""type"":""Point"",""coordinates"":[-43.82480520917714,-3.6232199512034695]}"
16_1164,1,1,2.0,-7.843505155996982,0.0,4.0,2.0,0.0,-36.41909400689581,4.0,4.0,2001,3,"{""type"":""Point"",""coordinates"":[-36.41909400689581,-7.843505155996982]}"
16_1239,1,1,8.0,-12.638083321928105,0.0,8.0,8.0,0.0,-51.842538614529104,0.0,8.0,2001,3,"{""type"":""Point"",""coordinates"":[-51.842538614529104,-12.638083321928105]}"
16_1356,1,1,2.0,-2.591594678920612,0.0,2.0,2.0,0.0,-45.24773661922247,6.0,2.0,2001,3,"{""type"":""Point"",""coordinates"":[-45.24773661922247,-2.591594678920612]}"
16_1387,1,1,0.0,1.3451822222047791,0.0,3.0,0.0,1.0,-50.584268396062896,4.0,4.0,2001,2,"{""type"":""Point"",""coordinates"":[-50.584268396062896,1.3451822222047791]}"
16_1396,1,1,2.0,-14.898334408301231,0.0,2.0,2.0,0.0,-41.54353354515562,6.0,2.0,2001,3,"{""type"":""Point"",""coordinates"":[-41.54353354515562,-14.898334408301231]}"
16_1416,1,1,8.0,-13.122904080767407,0.0,8.0,8.0,0.0,-53.77481479067021,0.0,8.0,2001,3,"{""type"":""Point"",""coordinates"":[-53.77481479067021,-13.122904080767407]}"
16_1448,1,3,8.0,-18.447308601272226,0.0,8.0,8.0,0.0,-47.81898445695777,0.0,8.0,2001,5,"{""type"":""Point"",""coordinates"":[-47.81898445695777,-18.447308601272226]}"
17_16,1,2,2.0,-8.740113641076675,0.0,2.0,2.0,0.0,-39.34230177294914,6.0,2.0,2002,3,"{""type"":""Point"",""coordinates"":[-39.34230177294914,-8.740113641076675]}"
